window_id,spike_side,spike_price,spike_time,entry_side,entry_price,we_win,final_price,gross_pnl,fee,net_pnl
25_11_07_06_00_06_15,DOWN,90,414.6,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_07_08_00_08_15,DOWN,90,599.7,UP,12,False,3,-1.2000,0.232320,-1.4323
25_11_07_09_00_09_15,DOWN,90,209.8,UP,11,False,3,-1.1000,0.217827,-1.3178
25_11_07_11_00_11_15,DOWN,91,244.0,UP,11,False,2,-1.1000,0.217827,-1.3178
25_11_07_14_00_14_15,DOWN,90,343.4,UP,12,False,78,-1.2000,0.232320,-1.4323
25_11_07_18_00_18_15,UP,90,498.9,DOWN,12,False,2,-1.2000,0.232320,-1.4323
25_11_07_20_00_20_15,DOWN,90,412.8,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_07_21_00_21_15,DOWN,90,223.8,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_08_01_00_01_15,UP,90,251.0,DOWN,12,False,2,-1.2000,0.232320,-1.4323
25_11_08_05_00_05_15,UP,90,352.8,DOWN,12,True,97,8.8000,0.232320,8.5677
25_11_08_05_00_05_15,DOWN,97,857.0,UP,8,False,6,-0.8000,0.169280,-0.9693
25_11_08_10_00_10_15,DOWN,90,587.0,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_08_11_00_11_15,UP,90,566.8,DOWN,12,False,2,-1.2000,0.232320,-1.4323
25_11_08_13_00_13_15,DOWN,90,318.0,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_08_16_00_16_15,DOWN,90,532.4,UP,12,True,99,8.8000,0.232320,8.5677
25_11_08_23_00_23_15,UP,96,814.2,DOWN,10,False,10,-1.0000,0.202500,-1.2025
25_11_09_01_00_01_15,UP,90,395.5,DOWN,12,False,1,-1.2000,0.232320,-1.4323
25_11_09_11_00_11_15,UP,90,280.7,DOWN,11,False,5,-1.1000,0.217827,-1.3178
25_11_09_12_00_12_15,UP,90,856.0,DOWN,12,False,96,-1.2000,0.232320,-1.4323
25_11_09_13_00_13_15,UP,90,396.5,DOWN,11,False,2,-1.1000,0.217827,-1.3178
25_11_09_19_00_19_15,DOWN,90,600.3,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_09_20_00_20_15,UP,91,335.1,DOWN,11,True,98,8.9000,0.217827,8.6822
25_11_09_23_00_23_15,UP,90,101.3,DOWN,11,False,2,-1.1000,0.217827,-1.3178
25_11_10_03_00_03_15,UP,90,250.3,DOWN,12,True,99,8.8000,0.232320,8.5677
25_11_10_04_00_04_15,UP,90,551.2,DOWN,12,False,2,-1.2000,0.232320,-1.4323
25_11_10_06_00_06_15,UP,90,616.7,DOWN,12,False,2,-1.2000,0.232320,-1.4323
25_11_10_07_00_07_15,UP,90,486.0,DOWN,12,False,4,-1.2000,0.232320,-1.4323
25_11_10_08_00_08_15,DOWN,90,625.5,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_10_10_00_10_15,DOWN,90,511.5,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_10_12_00_12_15,DOWN,90,218.8,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_10_13_00_13_15,UP,90,248.6,DOWN,11,False,1,-1.1000,0.217827,-1.3178
25_11_10_16_00_16_15,UP,90,654.2,DOWN,11,False,2,-1.1000,0.217827,-1.3178
25_11_10_22_00_22_15,UP,90,411.5,DOWN,12,True,99,8.8000,0.232320,8.5677
25_11_11_06_00_06_15,DOWN,90,451.6,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_11_08_00_08_15,UP,90,528.9,DOWN,12,False,2,-1.2000,0.232320,-1.4323
25_11_11_11_00_11_15,UP,90,289.1,DOWN,12,False,1,-1.2000,0.232320,-1.4323
25_11_11_12_00_12_15,UP,90,415.8,DOWN,12,False,1,-1.2000,0.232320,-1.4323
25_11_11_16_00_16_15,DOWN,90,558.2,UP,12,True,99,8.8000,0.232320,8.5677
25_11_11_16_00_16_15,UP,90,843.6,DOWN,11,False,2,-1.1000,0.217827,-1.3178
