window_id,time,combined,up_ask,down_ask,edge,gross,fee,net
25_12_07_05_00_05_15,18.6,96,55,41,4,0.8000,0.6352,0.1648
25_12_07_09_00_09_15,555.7,98,82,16,2,0.4000,0.3487,0.0513
25_12_07_11_00_11_15,826.5,97,14,83,3,0.6000,0.3188,0.2812
25_12_07_13_00_13_15,158.4,95,60,35,5,1.0000,0.6097,0.3903
25_12_07_17_00_17_15,721.2,96,21,75,4,0.8000,0.4448,0.3552
25_12_07_18_00_18_15,541.4,99,94,5,1,0.2000,0.1213,0.0787
25_12_07_19_00_19_15,726.2,98,90,8,2,0.4000,0.1918,0.2082
25_12_07_20_00_20_15,529.6,98,15,83,2,0.4000,0.3309,0.0691
25_12_08_00_00_00_15,613.6,99,3,96,1,0.2000,0.0744,0.1256
25_12_08_14_00_14_15,837.0,94,60,34,6,1.2000,0.6103,0.5897
25_12_08_16_00_16_15,822.8,97,82,15,3,0.6000,0.3374,0.2626
25_12_08_17_00_17_15,576.3,96,66,30,4,0.8000,0.5582,0.2418
25_12_08_23_00_23_15,661.3,99,93,6,1,0.2000,0.1439,0.0561
25_12_09_02_00_02_15,362.9,99,91,8,1,0.2000,0.1877,0.0123
25_12_09_04_00_04_15,603.1,98,83,15,2,0.4000,0.3309,0.0691
25_12_09_08_00_08_15,490.9,92,44,48,8,1.6000,0.6694,0.9306
25_12_09_10_00_10_15,656.8,95,43,52,5,1.0000,0.6488,0.3512
25_12_09_12_00_12_15,582.5,96,41,55,4,0.8000,0.6352,0.1648
25_12_09_13_00_13_15,741.6,99,7,92,1,0.2000,0.1661,0.0339
25_12_09_14_00_14_15,50.5,97,63,34,3,0.6000,0.5859,0.0141
25_12_09_15_00_15_15,192.7,99,96,3,1,0.2000,0.0744,0.1256
25_12_09_19_00_19_15,765.1,95,66,29,5,1.0000,0.5562,0.4438
25_12_09_20_00_20_15,689.0,96,51,45,4,0.8000,0.6464,0.1536
25_12_10_07_00_07_15,604.5,99,6,93,1,0.2000,0.1439,0.0561
25_12_10_10_00_10_15,639.8,98,84,14,2,0.4000,0.3126,0.0874
25_12_10_17_00_17_15,843.2,96,28,68,4,0.8000,0.5370,0.2630
25_12_10_18_00_18_15,601.2,95,39,56,5,1.0000,0.6338,0.3662
25_12_10_19_00_19_15,178.6,96,33,63,4,0.8000,0.5860,0.2140
25_12_11_00_00_00_15,857.2,96,54,42,4,0.8000,0.6389,0.1611
25_12_11_08_00_08_15,176.3,97,28,69,3,0.6000,0.5287,0.0713
25_12_11_10_00_10_15,734.7,95,60,35,5,1.0000,0.6097,0.3903
25_12_11_13_00_13_15,605.2,96,70,26,4,0.8000,0.5134,0.2866
25_12_11_14_00_14_15,733.2,95,48,47,5,1.0000,0.6545,0.3455
25_12_12_02_00_02_15,239.9,97,20,77,3,0.6000,0.4218,0.1782
25_12_12_07_00_07_15,789.1,95,91,4,5,1.0000,0.1106,0.8894
25_12_12_08_00_08_15,792.2,95,44,51,5,1.0000,0.6511,0.3489
25_12_12_13_00_13_15,321.4,97,21,76,3,0.6000,0.4371,0.1629
25_12_12_16_00_16_15,852.3,96,78,18,4,0.8000,0.3970,0.4030
25_12_12_18_00_18_15,665.8,97,76,21,3,0.6000,0.4371,0.1629
25_12_12_23_00_23_15,748.0,96,77,19,4,0.8000,0.4135,0.3865
25_12_13_02_00_02_15,335.6,96,69,27,4,0.8000,0.5255,0.2745
25_12_13_03_00_03_15,530.1,97,62,35,3,0.6000,0.5935,0.0065
25_12_13_07_00_07_15,748.4,91,60,31,9,1.8000,0.6090,1.1910
25_12_13_08_00_08_15,881.8,75,56,19,25,5.0000,0.5827,4.4173
25_12_13_09_00_09_15,230.5,96,64,32,4,0.8000,0.5773,0.2227
25_12_13_14_00_14_15,809.7,97,71,26,3,0.6000,0.5052,0.0948
25_12_13_18_00_18_15,541.6,99,95,4,1,0.2000,0.0981,0.1019
25_12_13_20_00_20_15,683.1,93,47,46,7,1.4000,0.6654,0.7346
25_12_13_21_00_21_15,365.9,98,8,90,2,0.4000,0.1918,0.2082
25_12_13_23_00_23_15,787.8,98,95,3,2,0.4000,0.0765,0.3235
25_12_14_00_00_00_15,784.5,95,14,81,5,1.0000,0.3320,0.6680
25_12_14_04_00_04_15,345.3,96,81,15,4,0.8000,0.3440,0.4560
25_12_14_06_00_06_15,144.1,90,60,30,10,2.0000,0.6075,1.3925
25_12_14_07_00_07_15,246.2,95,52,43,5,1.0000,0.6488,0.3512
25_12_14_09_00_09_15,12.9,90,55,35,10,2.0000,0.6481,1.3519
25_12_14_10_00_10_15,696.0,98,19,79,2,0.4000,0.3987,0.0013
25_12_14_12_00_12_15,832.5,95,20,75,5,1.0000,0.4372,0.5628
25_12_14_13_00_13_15,229.7,99,8,91,1,0.2000,0.1877,0.0123
25_12_14_16_00_16_15,122.9,96,45,51,4,0.8000,0.6464,0.1536
25_12_14_18_00_18_15,729.7,99,91,8,1,0.2000,0.1877,0.0123
25_12_14_20_00_20_15,476.2,97,22,75,3,0.6000,0.4518,0.1482
25_12_14_22_00_22_15,847.6,97,90,7,3,0.6000,0.1739,0.4261
25_12_15_00_00_00_15,609.2,98,80,18,2,0.4000,0.3826,0.0174
25_12_15_01_00_01_15,663.7,98,85,13,2,0.4000,0.2938,0.1062
25_12_15_04_00_04_15,452.0,98,87,11,2,0.4000,0.2546,0.1454
25_12_15_09_00_09_15,676.2,98,82,16,2,0.4000,0.3487,0.0513
25_12_15_10_00_10_15,735.6,97,15,82,3,0.6000,0.3374,0.2626
25_12_15_15_00_15_15,687.9,99,8,91,1,0.2000,0.1877,0.0123
25_12_15_20_00_20_15,663.9,97,7,90,3,0.6000,0.1739,0.4261
25_12_15_23_00_23_15,5.3,97,34,63,3,0.6000,0.5859,0.0141
25_12_16_02_00_02_15,736.2,99,96,3,1,0.2000,0.0744,0.1256
25_12_16_04_00_04_15,721.6,99,8,91,1,0.2000,0.1877,0.0123
25_12_16_07_00_07_15,779.1,96,12,84,4,0.8000,0.2861,0.5139
25_12_16_10_00_10_15,779.3,99,96,3,1,0.2000,0.0744,0.1256
25_12_16_13_00_13_15,687.1,99,7,92,1,0.2000,0.1661,0.0339
25_12_16_20_00_20_15,832.3,99,8,91,1,0.2000,0.1877,0.0123
25_12_16_21_00_21_15,588.2,96,61,35,4,0.8000,0.6016,0.1984
25_12_17_03_00_03_15,706.6,97,78,19,3,0.6000,0.4060,0.1940
25_12_17_07_00_07_15,369.9,97,69,28,3,0.6000,0.5287,0.0713
25_12_17_09_00_09_15,618.4,97,71,26,3,0.6000,0.5052,0.0948
25_12_17_11_00_11_15,299.3,96,40,56,4,0.8000,0.6310,0.1690
25_12_17_16_00_16_15,410.9,97,69,28,3,0.6000,0.5287,0.0713
25_12_17_22_00_22_15,400.7,93,31,62,7,1.4000,0.5928,0.8072
25_12_18_00_00_00_15,64.7,96,60,36,4,0.8000,0.6086,0.1914
25_12_18_03_00_03_15,23.6,92,40,52,8,1.6000,0.6595,0.9405
25_12_18_15_00_15_15,108.5,96,50,46,4,0.8000,0.6478,0.1522
25_12_18_16_00_16_15,658.0,97,14,83,3,0.6000,0.3188,0.2812
25_12_18_18_00_18_15,768.5,98,91,7,2,0.4000,0.1698,0.2302
25_12_18_22_00_22_15,693.2,98,15,83,2,0.4000,0.3309,0.0691
25_12_18_23_00_23_15,772.2,94,32,62,6,1.2000,0.5937,0.6063
25_12_19_07_00_07_15,18.1,97,67,30,3,0.6000,0.5499,0.0501
25_12_19_11_00_11_15,173.9,90,50,40,10,2.0000,0.6725,1.3275
25_12_19_12_00_12_15,56.3,96,57,39,4,0.8000,0.6263,0.1737
25_12_19_22_00_22_15,38.8,97,62,35,3,0.6000,0.5935,0.0065
25_12_20_00_00_00_15,883.5,97,79,18,3,0.6000,0.3897,0.2103
25_12_20_03_00_03_15,608.6,95,68,27,5,1.0000,0.5338,0.4662
25_12_20_04_00_04_15,504.1,98,15,83,2,0.4000,0.3309,0.0691
25_12_20_05_00_05_15,453.4,98,85,13,2,0.4000,0.2938,0.1062
25_12_20_09_00_09_15,312.4,97,68,29,3,0.6000,0.5396,0.0604
25_12_20_10_00_10_15,505.7,89,24,65,11,2.2000,0.5456,1.6544
25_12_20_11_00_11_15,368.1,94,32,62,6,1.2000,0.5937,0.6063
25_12_20_16_00_16_15,420.5,94,39,55,6,1.2000,0.6412,0.5588
25_12_20_17_00_17_15,756.9,93,38,55,7,1.4000,0.6436,0.7564
