name,trades,wins,reversals,win_rate,reversal_rate,avg_entry,avg_exit,ev_per_share,ev_invested,total_pnl,worst_loss
EXEC_slip3_pmax95,4782,4358,424,0.9113,0.0887,93.21,0,-0.0208,-0.0223,-99.31,-0.95
EXEC_slip3,4838,4408,430,0.9111,0.0889,93.35,0,-0.0224,-0.0239,-108.13,-1.01
MOM_dside20_dopp10,603,537,66,0.8905,0.1095,91.31,0,-0.0226,-0.0247,-13.61,-0.98
OPPBRK_30c_in30s,4838,4241,430,0.8766,0.0889,90.35,73.88,-0.0269,-0.0297,37.27,-0.97
OPPBRK_25c_in20s,4838,4186,430,0.8652,0.0889,90.35,78.49,-0.0382,-0.0423,37.27,-0.97
OPPBRK_20c_in10s,4838,4099,430,0.8473,0.0889,90.35,83.33,-0.0562,-0.0622,41.66,-0.97
OPPBRK_25c_in30s,4838,4088,430,0.845,0.0889,90.35,78.23,-0.0585,-0.0647,34.28,-0.97
TSTOP_tp92_t90,4838,3908,430,0.8078,0.0889,90.35,78.16,-0.0957,-0.1059,30.72,-0.98
OPPBRK_20c_in20s,4838,3890,430,0.8041,0.0889,90.35,83.03,-0.0994,-0.11,44.66,-0.96
OPPBRK_20c_in30s,4838,3721,430,0.7691,0.0889,90.35,82.82,-0.1344,-0.1487,47.18,-0.96
TSTOP_tp92_t60,4838,3719,430,0.7687,0.0889,90.35,81.49,-0.1348,-0.1492,22.38,-0.98
TSTOP_tp93_t90,4838,3700,430,0.7648,0.0889,90.35,79.74,-0.1387,-0.1535,37.02,-0.98
TSTOP_tp94_t90,4838,3538,430,0.7313,0.0889,90.35,81.69,-0.1722,-0.1906,30.58,-0.98
TSTOP_tp93_t60,4838,3475,430,0.7183,0.0889,90.35,82.86,-0.1852,-0.205,32.27,-0.98
TSTOP_tp92_t30,4838,3386,430,0.6999,0.0889,90.35,84.88,-0.2036,-0.2253,16.24,-0.98
TSTOP_tp94_t60,4838,3288,430,0.6796,0.0889,90.35,84.24,-0.2239,-0.2478,22.8,-0.98
TSTOP_tp93_t30,4838,3089,430,0.6385,0.0889,90.35,85.95,-0.265,-0.2933,29.97,-0.98
TSTOP_tp94_t30,4838,2934,430,0.6064,0.0889,90.35,86.82,-0.297,-0.3288,17.75,-0.98
SL_82c,4838,2761,430,0.5707,0.0889,90.35,79.42,-0.3328,-0.3683,39.61,-0.84
SL_84c,4838,2485,430,0.5136,0.0889,90.35,81.54,-0.3898,-0.4315,32.64,-0.84
SL_86c,4838,2117,430,0.4376,0.0889,90.35,83.66,-0.4659,-0.5157,22.28,-0.84
SL_88c,4838,1601,430,0.3309,0.0889,90.35,85.89,-0.5725,-0.6337,10.16,-0.84
