window_id,trade_type,side,entry_price,entry_time,reversal_score,won,gross_pnl,fee,net_pnl
25_11_27_01_00_01_15,directional,UP,92,301.5,-1,True,0.8000,0.014720,0.7853
25_11_27_03_00_03_15,directional,UP,92,529.6,-1,False,-9.2000,0.014720,-9.2147
25_11_27_05_00_05_15,fullset,BOTH,98,344.6,0,True,0.4000,0.599085,-0.1991
25_11_27_06_00_06_15,directional,UP,93,544.7,-1,True,0.7000,0.011392,0.6886
25_11_27_07_00_07_15,fullset,BOTH,97,508.8,0,True,0.6000,0.634928,-0.0349
25_11_27_20_00_20_15,fullset,BOTH,98,121.3,0,True,0.4000,0.599085,-0.1991
25_11_27_21_00_21_15,fullset,BOTH,97,500.9,0,True,0.6000,0.337358,0.2626
25_11_28_01_00_01_15,directional,DOWN,92,536.0,-1,True,0.8000,0.014720,0.7853
25_11_28_02_00_02_15,fullset,BOTH,98,390.2,0,True,0.4000,0.636980,-0.2370
25_11_28_04_00_04_15,fullset,BOTH,97,495.4,0,True,0.6000,0.585877,0.0141
25_11_28_06_00_06_15,directional,DOWN,95,515.8,-1,True,0.5000,0.005938,0.4941
25_11_28_14_00_14_15,fullset,BOTH,78,46.6,0,True,4.4000,0.725180,3.6748
25_11_28_18_00_18_15,fullset,BOTH,98,491.6,0,True,0.4000,0.569405,-0.1694
25_11_28_23_00_23_15,fullset,BOTH,89,40.6,0,True,2.2000,0.605472,1.5945
25_11_29_00_00_00_15,fullset,BOTH,96,73.1,0,True,0.8000,0.608640,0.1914
25_11_29_03_00_03_15,fullset,BOTH,97,236.5,0,True,0.6000,0.505218,0.0948
25_11_29_04_00_04_15,fullset,BOTH,98,242.5,0,True,0.4000,0.624260,-0.2243
25_11_29_09_00_09_15,directional,DOWN,94,538.0,-1,True,0.6000,0.008460,0.5915
25_11_29_11_00_11_15,fullset,BOTH,98,62.0,0,True,0.4000,0.636980,-0.2370
25_11_29_14_00_14_15,fullset,BOTH,98,407.6,0,True,0.4000,0.274460,0.1255
25_11_29_18_00_18_15,fullset,BOTH,98,287.6,0,True,0.4000,0.615780,-0.2158
25_11_29_20_00_20_15,directional,DOWN,92,188.2,-1,True,0.8000,0.014720,0.7853
25_11_29_22_00_22_15,directional,DOWN,92,465.9,-1,True,0.8000,0.014720,0.7853
25_11_30_00_00_00_15,fullset,BOTH,98,287.5,0,True,0.4000,0.551385,-0.1514
25_11_30_01_00_01_15,directional,UP,93,319.9,-1,True,0.7000,0.011392,0.6886
25_11_30_03_00_03_15,fullset,BOTH,98,150.7,0,True,0.4000,0.636185,-0.2362
25_11_30_04_00_04_15,fullset,BOTH,97,421.3,0,True,0.6000,0.517208,0.0828
25_11_30_08_00_08_15,fullset,BOTH,98,272.0,0,True,0.4000,0.633005,-0.2330
25_11_30_11_00_11_15,fullset,BOTH,97,110.9,0,True,0.6000,0.639833,-0.0398
25_11_30_19_00_19_15,fullset,BOTH,98,132.7,0,True,0.4000,0.585305,-0.1853
25_11_30_20_00_20_15,directional,UP,95,415.0,-1,True,0.5000,0.005938,0.4941
25_11_30_21_00_21_15,fullset,BOTH,96,456.5,0,True,0.8000,0.644480,0.1555
25_11_30_23_00_23_15,fullset,BOTH,98,69.2,0,True,0.4000,0.627705,-0.2277
25_12_01_00_00_00_15,fullset,BOTH,98,55.0,0,True,0.4000,0.599085,-0.1991
25_12_01_01_00_01_15,fullset,BOTH,98,15.9,0,True,0.4000,0.599085,-0.1991
25_12_01_02_00_02_15,fullset,BOTH,98,90.9,0,True,0.4000,0.585305,-0.1853
25_12_01_06_00_06_15,fullset,BOTH,98,322.9,0,True,0.4000,0.633005,-0.2330
25_12_01_09_00_09_15,fullset,BOTH,98,115.2,0,True,0.4000,0.620285,-0.2203
25_12_01_13_00_13_15,directional,UP,92,143.2,-1,True,0.8000,0.014720,0.7853
25_12_01_16_00_16_15,fullset,BOTH,98,424.3,0,True,0.4000,0.213245,0.1868
25_12_01_21_00_21_15,fullset,BOTH,98,502.8,0,True,0.4000,0.100620,0.2994
25_12_02_00_00_00_15,fullset,BOTH,98,363.5,0,True,0.4000,0.551385,-0.1514
25_12_02_06_00_06_15,fullset,BOTH,98,429.6,0,True,0.4000,0.592460,-0.1925
25_12_02_07_00_07_15,fullset,BOTH,98,126.3,0,True,0.4000,0.636980,-0.2370
25_12_02_11_00_11_15,fullset,BOTH,98,481.8,0,True,0.4000,0.560660,-0.1607
25_12_02_14_00_14_15,fullset,BOTH,98,310.3,0,True,0.4000,0.592460,-0.1925
25_12_02_15_00_15_15,fullset,BOTH,97,28.7,0,True,0.6000,0.623483,-0.0235
25_12_02_16_00_16_15,fullset,BOTH,98,129.4,0,True,0.4000,0.508985,-0.1090
25_12_02_17_00_17_15,fullset,BOTH,97,305.0,0,True,0.6000,0.280133,0.3199
25_12_02_18_00_18_15,directional,UP,92,496.0,-1,True,0.8000,0.014720,0.7853
25_12_02_19_00_19_15,fullset,BOTH,98,360.6,0,True,0.4000,0.458105,-0.0581
25_12_02_22_00_22_15,fullset,BOTH,95,48.3,0,True,1.0000,0.628663,0.3713
25_12_02_23_00_23_15,directional,DOWN,92,449.6,-1,True,0.8000,0.014720,0.7853
25_12_03_00_00_00_15,fullset,BOTH,97,38.0,0,True,0.6000,0.505218,0.0948
25_12_03_01_00_01_15,fullset,BOTH,98,402.5,0,True,0.4000,0.471620,-0.0716
25_12_03_02_00_02_15,directional,UP,92,273.3,-1,True,0.8000,0.014720,0.7853
