window_id,side,first_touch_time,entry_time,entry_price,spike_min,spike_max,exit_reason,exit_time,exit_price,pnl_per_share,pnl_invested,winner_at_settle,time_held,sl_triggered,tp_triggered,dynamic_sl_level
25_12_06_03_30_03_45,UP,1993.673,2003.673,91,90,93,TAKE_PROFIT,2101.663,97,0.06,0.0659,UP,97.99,False,True,86
25_12_06_04_00_04_15,DOWN,651.833,661.833,91,89,96,TAKE_PROFIT,661.877,97,0.06,0.0659,DOWN,0.04,False,True,86
25_12_06_04_30_04_45,DOWN,2554.762,2564.762,91,92,95,TAKE_PROFIT,2575.897,97,0.06,0.0659,DOWN,11.13,False,True,86
25_12_06_06_00_06_15,UP,717.173,727.173,91,91,95,TAKE_PROFIT,798.672,97,0.06,0.0659,UP,71.5,False,True,86
25_12_06_07_00_07_15,DOWN,894.199,904.199,91,92,99,SETTLEMENT_WIN,899.976,100,0.09,0.0989,DOWN,-4.22,False,False,86
25_12_06_07_15_07_30,DOWN,1561.504,1571.504,93,92,95,TAKE_PROFIT,1590.644,97,0.04,0.043,DOWN,19.14,False,True,86
25_12_06_07_45_08_00,DOWN,3296.927,3306.927,91,89,94,STOP_LOSS,3340.008,85,-0.06,-0.0659,DOWN,33.08,True,False,86
25_12_06_09_15_09_30,UP,1585.957,1595.957,91,91,96,TAKE_PROFIT,1596.194,97,0.06,0.0659,UP,0.24,False,True,86
25_12_06_09_30_09_45,DOWN,2631.058,2641.058,91,90,96,TAKE_PROFIT,2659.46,97,0.06,0.0659,DOWN,18.4,False,True,86
25_12_06_11_00_11_15,UP,675.916,685.916,91,90,94,TAKE_PROFIT,692.112,97,0.06,0.0659,DOWN,6.2,False,True,86
25_12_06_12_15_12_30,UP,1693.706,1703.706,91,96,98,TAKE_PROFIT,1705.701,97,0.06,0.0659,UP,2.0,False,True,86
25_12_06_12_30_12_45,DOWN,2522.22,2532.22,93,92,96,TAKE_PROFIT,2611.301,97,0.04,0.043,DOWN,79.08,False,True,86
25_12_06_14_45_15_00,DOWN,3508.377,3518.377,91,90,97,TAKE_PROFIT,3518.651,97,0.06,0.0659,DOWN,0.27,False,True,86
25_12_06_15_15_15_30,DOWN,975.74,985.74,91,88,93,STOP_LOSS,990.647,85,-0.06,-0.0659,DOWN,4.91,True,False,86
25_12_06_15_30_15_45,UP,2408.444,2418.444,93,95,98,TAKE_PROFIT,2418.828,97,0.04,0.043,UP,0.38,False,True,86
25_12_06_15_45_16_00,DOWN,3552.077,3562.077,93,92,96,TAKE_PROFIT,3563.363,97,0.04,0.043,DOWN,1.29,False,True,86
25_12_06_16_30_16_45,DOWN,2506.782,2516.782,91,89,93,STOP_LOSS,2545.02,85,-0.06,-0.0659,DOWN,28.24,True,False,86
25_12_06_17_30_17_45,DOWN,2050.921,2060.921,92,91,94,TAKE_PROFIT,2277.893,97,0.05,0.0543,DOWN,216.97,False,True,86
25_12_06_17_45_18_00,UP,3489.809,3499.809,91,89,97,TAKE_PROFIT,3502.186,97,0.06,0.0659,UP,2.38,False,True,86
25_12_06_18_30_18_45,DOWN,2341.54,2351.54,93,91,95,TAKE_PROFIT,2429.626,97,0.04,0.043,DOWN,78.09,False,True,86
25_12_06_18_45_19_00,DOWN,3140.85,3150.85,92,91,95,STOP_LOSS,3187.753,85,-0.07,-0.0761,UP,36.9,True,False,86
25_12_06_19_15_19_30,DOWN,1652.352,1662.352,93,89,97,TAKE_PROFIT,1664.089,97,0.04,0.043,UP,1.74,False,True,86
25_12_06_20_00_20_15,DOWN,892.608,902.608,91,91,99,SETTLEMENT_WIN,899.603,100,0.09,0.0989,DOWN,-3.0,False,False,86
25_12_06_20_15_20_30,UP,1625.72,1635.72,92,92,93,TAKE_PROFIT,1681.097,97,0.05,0.0543,UP,45.38,False,True,86
25_12_06_20_30_20_45,UP,2227.058,2237.058,92,93,95,STOP_LOSS,2243.802,85,-0.07,-0.0761,UP,6.74,True,False,86
