window_id,side,buy_price,buy_time,sell_price,sell_time,pnl_cents
25_11_01_11_00_11_15,DOWN,10,421.954,6,453.058,-4
25_11_01_11_00_11_15,DOWN,8,574.315,4,604.352,-4
25_11_01_12_00_12_15,DOWN,47,241.842,37,271.966,-10
25_11_01_12_00_12_15,DOWN,39,342.776,19,372.835,-20
25_11_01_12_00_12_15,DOWN,7,601.441,2,632.464,-5
25_11_01_12_00_12_15,UP,82,784.677,19,817.44,-63
25_11_01_12_00_12_15,UP,5,858.496,5,863.868,0
25_11_01_13_00_13_15,UP,48,112.684,36,142.724,-12
25_11_01_13_00_13_15,DOWN,65,219.783,45,250.194,-20
25_11_01_13_00_13_15,UP,40,271.841,29,302.252,-11
25_11_01_13_00_13_15,UP,32,305.113,22,337.023,-10
25_11_01_14_00_14_15,DOWN,36,11.161,32,41.231,-4
25_11_01_14_00_14_15,DOWN,38,246.185,30,276.561,-8
25_11_01_14_00_14_15,DOWN,39,304.692,29,334.78,-10
25_11_01_14_00_14_15,UP,44,526.136,24,556.407,-20
25_11_01_15_00_15_15,DOWN,55,258.081,23,290.607,-32
25_11_01_15_00_15_15,DOWN,23,302.173,10,337.06,-13
25_11_01_16_00_16_15,UP,45,29.022,30,59.698,-15
25_11_01_16_00_16_15,DOWN,65,134.143,49,167.17,-16
25_11_01_16_00_16_15,DOWN,27,339.828,8,371.628,-19
25_11_01_16_00_16_15,UP,78,602.068,30,632.299,-48
25_11_01_16_00_16_15,DOWN,73,666.856,57,697.003,-16
25_11_01_16_00_16_15,DOWN,59,699.45,31,729.572,-28
25_11_01_16_00_16_15,UP,68,793.799,18,824.046,-50
25_11_01_16_00_16_15,UP,10,829.489,0,860.354,-10
25_11_01_17_00_17_15,UP,43,38.13,22,68.209,-21
25_11_01_17_00_17_15,DOWN,82,240.852,75,277.585,-7
25_11_01_17_00_17_15,UP,22,331.604,14,367.279,-8
25_11_01_17_00_17_15,UP,15,384.108,5,415.82,-10
25_11_01_18_00_18_15,DOWN,27,204.693,26,241.079,-1
25_11_01_18_00_18_15,DOWN,34,481.032,14,514.78,-20
25_11_01_18_00_18_15,UP,67,547.373,62,577.631,-5
