window_id,leg1_side,leg1_price,leg1_time,leg2_side,leg2_price,leg2_time,dt_between_legs,pair_cost,edge_cents,completed_via_chase,settled_pnl
25_10_31_14_00_14_15,UP,40,772.011,DOWN,57,780.303,8.292,97,3,True,0.03
25_10_31_14_00_14_15,UP,35,783.209,DOWN,60,790.913,7.704,95,5,True,0.05
25_10_31_14_00_14_15,DOWN,58,791.59,UP,43,804.589,12.999,101,-1,True,-0.01
25_10_31_14_00_14_15,DOWN,60,808.794,UP,31,811.133,2.339,91,9,True,0.09
25_10_31_14_00_14_15,UP,27,814.229,DOWN,73,818.957,4.728,100,0,True,0.0
25_10_31_14_00_14_15,UP,28,819.05,DOWN,61,819.395,0.345,89,11,True,0.11
25_10_31_14_00_14_15,DOWN,64,823.719,UP,29,827.845,4.126,93,7,True,0.07
25_10_31_15_00_15_15,DOWN,51,5.61,UP,48,11.171,5.561,99,1,True,0.01
25_10_31_15_00_15_15,UP,22,231.341,DOWN,76,238.065,6.724,98,2,True,0.02
25_10_31_15_00_15_15,DOWN,79,272.87,UP,23,291.576,18.706,102,-2,True,-0.02
25_10_31_15_00_15_15,UP,7,426.374,DOWN,90,433.989,7.615,97,3,True,0.03
25_10_31_15_00_15_15,UP,83,640.89,DOWN,18,661.98,21.09,101,-1,True,-0.01
25_10_31_15_00_15_15,DOWN,9,668.758,UP,88,674.873,6.115,97,3,True,0.03
25_10_31_15_00_15_15,DOWN,17,683.333,UP,81,687.469,4.136,98,2,True,0.02
25_10_31_15_00_15_15,DOWN,70,809.792,UP,26,817.613,7.821,96,4,True,0.04
25_10_31_15_00_15_15,DOWN,75,822.883,UP,15,849.381,26.498,90,10,True,0.1
25_10_31_15_00_15_15,UP,4,852.444,DOWN,93,853.842,1.398,97,3,True,0.03
25_10_31_15_00_15_15,DOWN,90,855.934,UP,3,858.712,2.778,93,7,True,0.07
25_10_31_16_00_16_15,DOWN,54,190.923,UP,44,194.092,3.169,98,2,True,0.02
25_10_31_16_00_16_15,UP,60,291.88,DOWN,39,301.199,9.319,99,1,True,0.01
25_10_31_16_00_16_15,UP,56,368.299,DOWN,47,382.83,14.531,103,-3,True,-0.03
25_10_31_16_00_16_15,UP,58,392.394,DOWN,45,412.3,19.906,103,-3,True,-0.03
25_10_31_16_00_16_15,UP,19,542.878,DOWN,84,566.597,23.719,103,-3,True,-0.03
25_10_31_17_00_17_15,UP,39,13.146,DOWN,62,17.618,4.472,101,-1,True,-0.01
25_10_31_17_00_17_15,UP,63,233.55,DOWN,36,245.138,11.588,99,1,True,0.01
25_10_31_17_00_17_15,DOWN,28,253.381,UP,69,261.491,8.11,97,3,True,0.03
25_10_31_17_00_17_15,UP,72,319.159,DOWN,31,339.65,20.491,103,-3,True,-0.03
25_10_31_17_00_17_15,UP,86,488.413,DOWN,12,493.602,5.189,98,2,True,0.02
25_10_31_17_00_17_15,DOWN,9,494.293,UP,89,502.737,8.444,98,2,True,0.02
25_10_31_17_00_17_15,UP,89,505.989,DOWN,14,522.172,16.183,103,-3,True,-0.03
25_10_31_17_00_17_15,UP,89,680.634,DOWN,8,685.824,5.19,97,3,True,0.03
25_10_31_17_00_17_15,UP,91,689.786,DOWN,9,703.966,14.18,100,0,True,0.0
25_10_31_17_00_17_15,UP,89,722.71,DOWN,9,728.094,5.384,98,2,True,0.02
25_10_31_18_00_18_15,UP,62,104.079,DOWN,37,112.574,8.495,99,1,True,0.01
25_10_31_18_00_18_15,UP,62,122.381,DOWN,40,145.656,23.275,102,-2,True,-0.02
25_10_31_18_00_18_15,DOWN,14,429.24,UP,86,442.105,12.865,100,0,True,0.0
25_10_31_18_00_18_15,UP,80,492.977,DOWN,22,512.816,19.839,102,-2,True,-0.02
25_10_31_18_00_18_15,UP,80,609.147,DOWN,19,614.546,5.399,99,1,True,0.01
25_10_31_18_00_18_15,UP,76,778.685,DOWN,23,781.471,2.786,99,1,True,0.01
25_10_31_19_00_19_15,UP,11,559.812,DOWN,86,563.472,3.66,97,3,True,0.03
25_10_31_19_00_19_15,DOWN,93,758.964,UP,4,770.276,11.312,97,3,True,0.03
25_10_31_20_00_20_15,UP,37,65.264,DOWN,60,82.749,17.485,97,3,True,0.03
25_10_31_20_00_20_15,UP,13,315.12,DOWN,88,340.821,25.701,101,-1,True,-0.01
25_10_31_20_00_20_15,DOWN,71,682.268,UP,26,700.728,18.46,97,3,True,0.03
25_10_31_20_00_20_15,DOWN,63,745.092,UP,39,769.748,24.656,102,-2,True,-0.02
25_10_31_21_00_21_15,DOWN,35,227.518,UP,62,236.559,9.041,97,3,True,0.03
