episode_id,market_id,window_id,start_ts,end_ts,total_trades,net_up,net_down,matched_shares,avg_cost_matched,has_merge,has_redeem,merge_delay_s,label,confidence,realized_pnl,realized_via,is_realized
0x985bc1d675c5e9588a_2026-01-05T23:31:05,0x985bc1d675c5e9588a138f41a089c7e1035e6d0b7c74db6d27959e88276acea2,,2026-01-05T23:31:05,2026-01-05T23:46:49,3992,0.0,344649.31999999663,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0x57047e2832873828c4_2026-01-05T23:45:55,0x57047e2832873828c41fcee93197653bb34430358e97c5cc8f9b9557380c1f52,btc-updown-15m-1767636900,2026-01-05T23:45:55,2026-01-05T23:45:55,998,0.0,838.3200000000056,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0xbe240c6b934ba76b0a_2026-01-05T23:46:27,0xbe240c6b934ba76b0aebf64a4af0006f25ded7a27e85d27f699b4509d58dcd5d,,2026-01-05T23:46:27,2026-01-05T23:46:27,998,0.0,10978.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0xc6dc10c43f74a8ce13_2026-01-05T23:46:57,0xc6dc10c43f74a8ce13c0a0703e93637ad3fe0738ccd6da6e4fe90860f2135116,,2026-01-05T23:46:57,2026-01-05T23:46:57,998,0.0,25708.47999999954,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0x57047e2832873828c4_2026-01-05T23:56:25,0x57047e2832873828c41fcee93197653bb34430358e97c5cc8f9b9557380c1f52,btc-updown-15m-1767636900,2026-01-05T23:56:25,2026-01-05T23:56:27,1996,216645.839999997,0.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0x60cb38ae60f3937e1d_2026-01-05T23:57:15,0x60cb38ae60f3937e1dd1cef2f71495414d3cf19a6377d1dbe31d67d0eab5b6f8,,2026-01-05T23:57:15,2026-01-06T00:17:25,17964,1146831.7400000547,26965.960000000367,26965.960000000367,1.4094260875618814,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0x1a3d34e41198786dca_2026-01-06T00:00:07,0x1a3d34e41198786dca57c44d3ffe8f7ab368baaf6f2bf2786c389dd991d90dc3,,2026-01-06T00:00:07,2026-01-06T00:12:55,7984,1341012.5999999805,379729.0199999907,379729.0199999907,0.7788797733708142,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0xe2ebc678950b0d81d5_2026-01-06T00:00:35,0xe2ebc678950b0d81d5f89e007ab993e30ef11e5acda469ca95d70794b246f8a1,,2026-01-06T00:00:35,2026-01-06T00:00:35,998,0.0,120758.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0x985bc1d675c5e9588a_2026-01-06T00:13:05,0x985bc1d675c5e9588a138f41a089c7e1035e6d0b7c74db6d27959e88276acea2,,2026-01-06T00:13:05,2026-01-06T00:26:53,16966,1752278.419999952,5718.539999999888,5718.539999999888,0.5214675445240886,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0xe2ebc678950b0d81d5_2026-01-06T00:13:59,0xe2ebc678950b0d81d5f89e007ab993e30ef11e5acda469ca95d70794b246f8a1,,2026-01-06T00:13:59,2026-01-06T00:14:47,2994,241516.0,17465.0,17465.0,0.9624380165289277,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0x3c5d797469cbd1859a_2026-01-06T00:16:27,0x3c5d797469cbd1859a9105a96c483cfa3d67e00334c75afb69f0e23772c6333c,,2026-01-06T00:16:27,2026-01-06T00:16:33,3992,836353.9400000239,0.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0xbe240c6b934ba76b0a_2026-01-06T00:18:41,0xbe240c6b934ba76b0aebf64a4af0006f25ded7a27e85d27f699b4509d58dcd5d,,2026-01-06T00:18:41,2026-01-06T00:25:17,11976,605895.779999986,58722.31999999853,58722.31999999853,0.8341827675380038,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0xe644cc140b6aade66f_2026-01-06T00:30:09,0xe644cc140b6aade66f34d8ca561b6c8173685a7e9119aa12052716abf2ba25a5,,2026-01-06T00:30:09,2026-01-06T00:30:21,7984,0.0,679887.5,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0xebb561c28f81e2fea3_2026-01-06T00:30:09,0xebb561c28f81e2fea37d531f30b0f25f3bf129b5a0e491457b8edb95fcb97220,btc-updown-15m-1767639600,2026-01-06T00:30:09,2026-01-06T00:30:09,998,0.0,250498.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0x0ac02858d645239bd8_2026-01-06T00:30:11,0x0ac02858d645239bd80aed1856eaf0246b373c3586c8d3ee3d8f4db85a4c98b9,,2026-01-06T00:30:11,2026-01-06T00:40:11,6986,0.0,264579.7800000224,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0x7bdf5b8399636efd0f_2026-01-06T00:30:25,0x7bdf5b8399636efd0fd2b574f19899032b95ffa2941991061f142db2bfc7f029,,2026-01-06T00:30:25,2026-01-06T00:41:01,4990,0.0,773220.4599999605,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0xf25e9be9070130cd13_2026-01-06T00:31:01,0xf25e9be9070130cd13c26e8ac3f7c67e4b3cf4c9d57867a87cf65471de3bd554,,2026-01-06T00:31:01,2026-01-06T01:15:33,14970,1205025.1199999442,175777.73999999964,175777.73999999964,1.4133636830630787,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0x0078e3f136ca6e2957_2026-01-06T00:31:03,0x0078e3f136ca6e29570d44f16c134e78a983c49a2a62411e571be42b954714c0,,2026-01-06T00:31:03,2026-01-06T01:24:25,34930,1250304.379999967,1192649.9200000372,1192649.9200000372,1.2411836748005904,False,False,,FULL_SET_ARB,0.4,,,False
0x18b5d0680d437c5127_2026-01-06T00:45:39,0x18b5d0680d437c512702d5ffb6f47faef308383e406cbea5468f09a6e7b77582,,2026-01-06T00:45:39,2026-01-06T00:48:31,1996,120758.0,120758.0,120758.0,1.200000000000009,False,False,,FULL_SET_ARB,0.4,,,False
0x2abb7d676e4e236e73_2026-01-06T00:49:43,0x2abb7d676e4e236e730fa6f2730783d2552f5f1faea821791e4d47ff57b17245,btc-updown-15m-1767640500,2026-01-06T00:49:43,2026-01-06T00:50:07,1996,0.0,171266.779999997,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0x7bdf5b8399636efd0f_2026-01-06T00:57:13,0x7bdf5b8399636efd0fd2b574f19899032b95ffa2941991061f142db2bfc7f029,,2026-01-06T00:57:13,2026-01-06T01:13:17,7984,991772.4799999512,96806.0,96806.0,1.1753600466913272,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0x0ac02858d645239bd8_2026-01-06T01:05:43,0x0ac02858d645239bd80aed1856eaf0246b373c3586c8d3ee3d8f4db85a4c98b9,,2026-01-06T01:05:43,2026-01-06T01:05:43,998,0.0,4990.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0xb9d0495219a3e351a5_2026-01-06T01:15:47,0xb9d0495219a3e351a567522f6edf3e313d1962ae75fffcab3d35c6ecaff2398f,,2026-01-06T01:15:47,2026-01-06T01:29:19,11976,442652.92000004504,235847.3600000198,235847.3600000198,0.9987485452792484,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0x0ac02858d645239bd8_2026-01-06T01:27:09,0x0ac02858d645239bd80aed1856eaf0246b373c3586c8d3ee3d8f4db85a4c98b9,,2026-01-06T01:27:09,2026-01-06T01:27:09,998,60608.54000000127,0.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0x43e61fc3632ca79ebf_2026-01-06T01:30:09,0x43e61fc3632ca79ebf9a9c304c6896d9d52dcbfb6b9a6743218db7dfb71f5c09,,2026-01-06T01:30:09,2026-01-06T01:57:59,5208,65859.67999999972,370541.5199999744,65859.67999999972,1.2256201775038138,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0x467a183e890af4d2c6_2026-01-06T01:30:09,0x467a183e890af4d2c6f159cb590d50124fe70103b4174c7734b6f168f1f58b2e,btc-updown-15m-1767645900,2026-01-06T01:30:09,2026-01-06T02:17:49,1412,78399.25,28516.5,28516.5,1.1127997582866613,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0xc5507bf528e30741b0_2026-01-06T01:30:19,0xc5507bf528e30741b09ae4b5bdc282d0db3467b43d2e9d21e556a61f4c810574,,2026-01-06T01:30:19,2026-01-06T01:33:57,2933,118855.0999999998,120879.0,118855.0999999998,1.4394006332080074,False,False,,FULL_SET_ARB,0.4,,,False
